disease,dietary_recommendations,medicine
Achondroplasia,"['Balanced diet to support overall health and manage weight.', 'Ensure adequate calcium and vitamin D for bone health; moderate protein intake with emphasis on lean sources.']",['Growth Hormone (GH) therapy']
Acne,"['Limit high-glycemic foods (such as white bread and sugary snacks) and dairy.', 'Focus on a diet with 30% healthy fats (including omega-3 fatty acids) and high in antioxidants (fruits and vegetables).']","['Benzoyl Peroxide', 'Isotretinoin']"
Addison's Disease,"['Increase sodium intake as recommended by a healthcare provider (generally 2,300 mg/day). ', 'Balance diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats to maintain overall health.']","['Hydrocortisone', 'Fludrocortisone']"
Amyloidosis,"['Follow a low-sodium diet (less than 2,300 mg/day).', 'Maintain a balanced intake of 45-65% carbohydrates, 10-35% protein, and 20-35% fats.']","['Daratumumab', 'Bortezomib']"
Anemia,"['Increase iron intake (18 mg/day for women, 8 mg/day for men) with iron-rich foods.', 'Consume vitamin C (75-90 mg/day) to enhance iron absorption.']","['Ferrous Sulfate', 'Erythropoietin']"
Arthritis,"['Focus on an anti-inflammatory diet with 30% healthy fats and moderate carbohydrate intake (45-65% of total calories).', 'Ensure adequate protein intake (10-35% of total calories).']","['Methotrexate', 'Ibuprofen']"
Asthma,"['Aim for a diet rich in antioxidants and omega-3 fatty acids, with 45-65% carbohydrates and 10-35% protein.', 'Avoid food allergens and sensitivities.']","['Salbutamol', 'Fluticasone']"
Behcet's Disease,"['Follow a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Adjust dietary choices based on individual symptoms and triggers.']","['Colchicine', 'Prednisone']"
Breast Cancer,"['Focus on a diet with 25-35% fat, primarily from healthy sources like nuts and olive oil.', 'Maintain a balanced intake of 45-65% carbohydrates and 10-35% protein.', 'Limit alcohol to no more than 1 drink per day.']","['Tamoxifen', 'Trastuzumab']"
Bronchitis,"['Eat a diet rich in antioxidants with 45-65% carbohydrates and 10-35% protein.', 'Ensure adequate hydration and intake of omega-3 fatty acids']",['Albuterol']
Celiac Disease,"['Follow a strict gluten-free diet with balanced macronutrient distribution: 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Focus on gluten-free grains such as quinoa, rice, and corn.']",['no specific medication']
Chagas Disease,"['Maintain a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Adjust dietary choices based on individual digestive symptoms and needs.']","['Benznidazole', 'Nifurtimox']"
Chickenpox,"['Focus on a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats to support immune function and recovery.', 'Increase fluid intake and include soft, soothing foods to avoid irritation of the mouth and throat.']",['Acyclovir']
Cholera,"['Ensure adequate hydration and electrolyte balance; consume oral rehydration solutions as recommended.', 'Eat easily digestible foods with a balanced intake of 45-65% carbohydrates, 10-35% protein, and 20-35% fats to support recovery.']","['Doxycycline', 'Oral Rehydration Salts (ORS)']"
Chronic Obstructive Pulmonary Disease (COPD),"['Aim for a diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Increase protein intake to support muscle mass (1.2-1.5 g/kg of body weight) and maintain adequate calorie intake to prevent weight loss.']","['Tiotropium', 'Salbutamol']"
Colorectal Cancer,"['Follow a diet high in fiber (25-30 g/day) from fruits, vegetables, and whole grains.', 'Limit intake of red and processed meats, aiming for 45-65% carbohydrates, 10-35% protein, and 20-35% fats.']","['Fluorouracil (5-FU)', 'Oxaliplatin']"
Common Cold,"['Maintain a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Increase fluid intake and consume foods rich in vitamin C (75-90 mg/day) to support immune function.']","['No specific medication', 'Symptomatic relief with Paracetamol and Pseudoephedrine']"
Cystic Fibrosis,"['Increase calorie intake due to higher energy needs, with 45-65% carbohydrates, 15-20% protein (1.2-2.0 g/kg of body weight), and 30-40% fats.', 'Include pancreatic enzyme supplements and high-calorie, high-fat foods to support digestion and weight maintenance.']","['Ivacaftor', 'Dornase Alfa']"
Dengue,"['Maintain hydration and electrolyte balance; consume oral rehydration solutions.', 'Eat a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats to support recovery and maintain energy levels.']","['No specific antiviral', 'Supportive care with Acetaminophen (avoid aspirin)']"
Depression,"['Focus on a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Incorporate omega-3 fatty acids (e.g., fatty fish, flaxseeds) and foods rich in antioxidants (fruits and vegetables) to support mood regulation.']","['Fluoxetine', 'Sertraline']"
Diabetes Type 1,"['Monitor carbohydrate intake (45-60% of total calories) and distribute it evenly throughout the day.', 'Ensure adequate protein intake (15-20% of total calories) and limit saturated fats to 7-10% of total calories.', 'Focus on high-fiber foods and maintain blood sugar control.']","['Insulin Glargine', 'Insulin Aspart']"
Duchenne Muscular Dystrophy,"['Maintain a balanced diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats.', 'Ensure adequate protein (1.0-1.5 g/kg of body weight) and calorie intake to support muscle function and prevent weight loss.']","['Prednisone', 'Deflazacort']"
Epidermolysis Bullosa,"['Consume a diet with 45-65% carbohydrates, 10-35% protein, and 20-35% fats to support skin health and healing.', 'Include calorie-dense foods and ensure adequate intake of vitamins and minerals to support wound healing.']","['No specific cure', 'Symptomatic treatment with Topical Antibiotics']"
